spread_id,split,technical_grade,style_grade,spread_type,is_solo,is_front,is_terminal,page_role,left_page,right_page,n_pages_in_spread,edition_page_count,page_position_frac,edition_item_count,edition_word_count_total,edition_word_count_mean,edition_brief_frac,edition_standard_frac,edition_template_entropy,edition_image_count_total,edition_source_count,edition_section_count,est_item_count,est_items_per_page,est_word_count,est_words_per_page,est_word_count_mean,est_brief_count,est_standard_count,est_image_count,est_source_count,d3_image_fraction,d5_fill_fraction,d7_template_entropy,d8_word_count_cv,anchor_strength,d2_orphans,d2_widows,d4_col_balance,d6_dead_space
s-017-005,train,4,2,spread,0,0,0,interior,8,9,2,23,0.318182,35,19085,545.29,0.371429,0.628571,0.951763,0,12,3,3,1.5,1659.57,829.78,553.19,0,3,0,2,0.0,0.72147,0.0,0.203068,1.271106,0,0,10.4,0.0
s-060-009,val,6,3,spread,0,0,0,interior,16,17,2,25,0.625,35,26345,752.71,0.285714,0.714286,0.863121,0,12,3,2,1.0,2107.6,1053.8,1053.8,0,2,0,2,0.0,0.711784,0.0,0.118521,1.118521,0,0,26.7,0.0
s-095-003,train,6,3,spread,0,0,0,interior,4,5,2,20,0.157895,29,13351,460.38,0.275862,0.724138,0.849751,0,7,2,6,3.0,1335.1,667.55,222.52,3,3,0,3,0.0,0.549859,1.0,0.915889,2.198425,0,0,310.8,0.0
s-009-007,train,3,2,spread,0,0,0,interior,12,13,2,20,0.578947,35,21039,601.11,0.314286,0.685714,0.898059,0,10,3,4,2.0,2103.9,1051.95,525.98,0,4,0,3,0.0,0.39022,0.0,1.368076,3.352545,0,0,25.36,0.022661
s-014-004,train,3,2,spread,0,0,0,interior,6,7,2,21,0.25,29,14413,497.0,0.275862,0.724138,0.849751,0,12,3,2,1.0,1372.67,686.34,686.34,0,2,0,2,0.0,0.388126,0.0,0.171603,1.171603,0,0,10.4,0.0
s-009-004,train,6,4,spread,0,0,0,interior,6,7,2,20,0.263158,35,21039,601.11,0.314286,0.685714,0.898059,0,10,3,5,2.5,2103.9,1051.95,420.78,0,5,0,4,0.0,0.747148,0.0,1.490267,3.967869,0,0,89.2,0.0
s-009-006,train,4,3,spread,0,0,0,interior,10,11,2,20,0.473684,35,21039,601.11,0.314286,0.685714,0.898059,0,10,3,1,0.5,2103.9,1051.95,2103.9,0,1,0,1,0.0,0.382815,0.0,0.0,1.0,0,0,362.96,0.033446
s-032-001,train,2,2,solo,1,1,0,front,1,1,1,24,0.0,29,33606,1158.83,0.172414,0.827586,0.663197,0,14,3,4,4.0,1400.25,1400.25,350.06,0,4,0,2,0.0,0.039313,0.0,0.83688,2.439462,1,0,0.0,0.060046
s-079-008,val,6,4,spread,0,0,0,interior,14,15,2,43,0.309524,47,39450,839.36,0.06383,0.93617,0.342464,0,11,2,5,2.5,1834.88,917.44,366.98,0,5,0,2,0.0,0.768269,0.0,0.735893,2.08509,0,0,56.4,0.0
s-006-007,train,3,2,spread,0,0,0,interior,12,13,2,16,0.733333,29,10189,351.34,0.37931,0.62069,0.957553,0,9,3,1,0.5,1273.62,636.81,1273.62,0,1,0,1,0.0,0.564713,0.0,0.0,1.0,0,0,474.5,0.017687
s-042-011,train,3,2,spread,0,0,0,interior,20,21,2,31,0.633333,41,24822,605.41,0.317073,0.682927,0.90117,0,12,3,2,1.0,1601.42,800.71,800.71,0,2,0,2,0.0,0.290116,0.0,0.401658,1.401658,0,0,365.84,0.0
s-084-006,val,7,4,spread,0,0,0,interior,10,11,2,16,0.6,41,7747,188.95,0.195122,0.804878,0.712064,0,5,2,4,2.0,968.38,484.19,242.09,1,3,0,2,0.0,0.56302,0.811278,0.748866,1.80118,0,0,299.0,0.047192
s-020-008,train,6,3,spread,0,0,0,interior,14,15,2,28,0.481481,41,21748,530.44,0.268293,0.731707,0.839004,0,9,3,3,1.5,1553.43,776.72,517.81,0,3,0,1,0.0,0.797157,0.0,0.584216,1.80674,0,0,90.7,0.0
