spread_id,split,technical_grade,style_grade,spread_type,is_solo,is_front,is_terminal,page_role,left_page,right_page,n_pages_in_spread,edition_page_count,page_position_frac,edition_item_count,edition_word_count_total,edition_word_count_mean,edition_brief_frac,edition_standard_frac,edition_template_entropy,edition_image_count_total,edition_source_count,edition_section_count,est_item_count,est_items_per_page,est_word_count,est_words_per_page,est_word_count_mean,est_brief_count,est_standard_count,est_image_count,est_source_count,d3_image_fraction,d5_fill_fraction,d7_template_entropy,d8_word_count_cv,anchor_strength,d2_orphans,d2_widows,d4_col_balance,d6_dead_space
s-088-006,train,2,2,spread,0,0,0,interior,10,11,2,29,0.321429,29,16356,564.0,0.413793,0.586207,0.978449,0,9,3,2,1.0,1128.0,564.0,564.0,0,2,0,1,0.0,1.253333,0.0,0.790486,1.790486,NA,NA,NA,NA
s-085-011,val,2,1,spread,0,0,0,interior,20,21,2,24,0.826087,41,16034,391.07,0.292683,0.707317,0.872162,0,8,3,6,3.0,1336.17,668.09,222.7,0,6,0,3,0.0,1.484633,0.0,1.195629,3.163584,NA,NA,NA,NA
s-027-010,train,5,3,spread,0,0,0,interior,18,19,2,59,0.293103,41,45864,1118.63,0.0,1.0,0.0,0,7,2,3,1.5,1554.71,777.36,518.24,0,3,0,3,0.0,1.727456,0.0,0.425291,1.432615,NA,NA,NA,NA
s-040-018,train,2,2,spread,0,0,0,interior,34,35,2,41,0.825,47,32454,690.51,0.489362,0.510638,0.999673,0,11,2,2,1.0,1583.12,791.56,791.56,0,2,0,2,0.0,1.759022,0.0,0.249914,1.249914,NA,NA,NA,NA
s-039-006,train,2,2,spread,0,0,0,interior,10,11,2,30,0.310345,47,19350,411.7,0.553191,0.446809,0.991821,0,11,3,3,1.5,1290.0,645.0,430.0,0,3,0,2,0.0,1.433333,0.0,0.43443,1.601153,NA,NA,NA,NA
s-055-003,val,2,2,spread,0,0,0,interior,4,5,2,24,0.130435,35,26619,760.54,0.314286,0.685714,0.898059,0,11,2,2,1.0,2218.25,1109.12,1109.12,0,2,0,2,0.0,2.464722,0.0,0.469084,1.469084,NA,NA,NA,NA
s-084-007,val,5,3,spread,0,0,0,interior,12,13,2,15,0.785714,41,7747,188.95,0.195122,0.804878,0.712064,0,5,2,6,3.0,1032.93,516.47,172.16,0,6,0,2,0.0,1.1477,0.0,0.949202,2.910891,NA,NA,NA,NA
s-010-009,val,2,2,spread,0,0,0,interior,16,17,2,22,0.714286,17,12215,718.53,0.235294,0.764706,0.787127,0,8,1,3,1.5,1110.45,555.23,370.15,0,3,0,2,0.0,1.233833,0.0,1.15185,2.62895,NA,NA,NA,NA
s-072-023,val,4,3,solo,1,0,1,solo_terminal,44,44,1,44,1.0,35,41327,1180.77,0.257143,0.742857,0.822404,0,12,3,11,11.0,939.25,939.25,85.39,9,2,0,6,0.0,2.087222,0.684038,1.968325,7.110462,NA,NA,NA,NA
s-078-002,train,1,1,spread,0,0,0,interior,2,3,2,15,0.071429,29,7738,266.83,0.793103,0.206897,0.735509,0,4,1,8,4.0,1031.73,515.87,128.97,6,2,0,4,0.0,1.146367,0.811278,1.87744,5.7786,NA,NA,NA,NA
s-015-018,train,2,2,spread,0,0,0,interior,34,35,2,54,0.622642,35,32377,925.06,0.142857,0.857143,0.591673,0,13,3,2,1.0,1199.15,599.58,599.58,0,2,0,1,0.0,1.332389,0.0,0.193676,1.193676,NA,NA,NA,NA
s-024-021,train,2,2,spread,0,0,0,interior,40,41,2,42,0.95122,35,56843,1624.09,0.142857,0.857143,0.591673,0,7,1,2,1.0,2706.81,1353.4,1353.4,0,2,0,2,0.0,3.007567,0.0,0.217529,1.217529,NA,NA,NA,NA
s-072-022,train,5,4,spread,0,0,0,interior,42,43,2,44,0.953488,35,41327,1180.77,0.257143,0.742857,0.822404,0,12,3,3,1.5,1878.5,939.25,626.17,0,3,0,2,0.0,2.087222,0.0,0.230037,1.191382,NA,NA,NA,NA
s-048-025,train,5,4,spread,0,0,0,interior,48,49,2,50,0.959184,35,30636,875.31,0.114286,0.885714,0.512709,0,10,3,4,2.0,1225.44,612.72,306.36,0,4,0,3,0.0,1.3616,0.0,0.875372,2.424586,NA,NA,NA,NA
s-085-003,val,3,3,spread,0,0,0,interior,4,5,2,24,0.130435,41,16034,391.07,0.292683,0.707317,0.872162,0,8,3,3,1.5,1336.17,668.09,445.39,0,3,0,3,0.0,1.484633,0.0,0.683684,1.897901,NA,NA,NA,NA
s-031-016,val,2,2,spread,0,0,0,interior,30,31,2,64,0.460317,47,48097,1023.34,0.234043,0.765957,0.784992,0,19,3,3,1.5,1503.03,751.51,501.01,0,3,0,3,0.0,1.670033,0.0,0.63124,1.647095,NA,NA,NA,NA
s-074-004,train,2,2,spread,0,0,0,interior,6,7,2,20,0.263158,41,11076,270.15,0.243902,0.756098,0.80147,0,8,2,7,3.5,1107.6,553.8,158.23,0,7,0,3,0.0,1.230667,0.0,0.282685,1.366138,NA,NA,NA,NA
s-064-012,val,6,4,spread,0,0,0,interior,22,23,2,26,0.84,41,13567,330.9,0.390244,0.609756,0.964957,0,11,2,3,1.5,1043.62,521.81,347.87,0,3,0,2,0.0,1.159578,0.0,0.842065,2.178591,NA,NA,NA,NA
s-057-011,train,2,2,spread,0,0,0,interior,20,21,2,48,0.404255,41,23394,570.59,0.219512,0.780488,0.759276,0,13,3,3,1.5,974.75,487.38,324.92,0,3,0,3,0.0,1.083056,0.0,0.556678,1.710483,NA,NA,NA,NA
s-086-019,train,1,1,spread,0,0,0,interior,36,37,2,40,0.897436,29,60488,2085.79,0.37931,0.62069,0.957553,0,13,3,1,0.5,3024.4,1512.2,3024.4,0,1,0,1,0.0,3.360444,0.0,0.0,1.0,NA,NA,NA,NA
s-041-014,train,6,4,spread,0,0,0,interior,26,27,2,32,0.806452,47,16949,360.62,0.531915,0.468085,0.997059,0,15,3,2,1.0,1059.31,529.65,529.65,0,2,0,2,0.0,1.177011,0.0,0.592401,1.592401,NA,NA,NA,NA
s-037-007,train,3,3,spread,0,0,0,interior,12,13,2,43,0.261905,29,31100,1072.41,0.137931,0.862069,0.578795,0,12,4,2,1.0,1446.51,723.25,723.25,0,2,0,2,0.0,1.607233,0.0,0.60775,1.60775,NA,NA,NA,NA
s-006-006,train,2,2,spread,0,0,0,interior,10,11,2,17,0.5625,29,10189,351.34,0.37931,0.62069,0.957553,0,9,3,4,2.0,1198.71,599.36,299.68,0,4,0,3,0.0,1.3319,0.0,0.890303,2.459251,NA,NA,NA,NA
s-100-015,train,3,3,solo,1,0,1,solo_terminal,28,28,1,28,1.0,29,25567,881.62,0.137931,0.862069,0.578795,0,6,1,3,3.0,913.11,913.11,304.37,1,2,0,2,0.0,2.029133,0.918296,1.138779,2.610414,NA,NA,NA,NA
s-073-005,train,2,2,spread,0,0,0,interior,8,9,2,16,0.466667,23,6692,290.96,0.347826,0.652174,0.932112,0,5,2,4,2.0,836.5,418.25,209.12,1,3,0,3,0.0,0.929444,0.811278,0.706019,1.716561,NA,NA,NA,NA
s-049-001,train,5,5,solo,1,1,0,front,1,1,1,48,0.0,35,33982,970.91,0.285714,0.714286,0.863121,0,11,2,1,1.0,707.96,707.96,707.96,0,1,0,1,0.0,1.573244,0.0,0.0,1.0,NA,NA,NA,NA
s-079-011,train,3,3,spread,0,0,0,interior,20,21,2,60,0.322034,47,39450,839.36,0.06383,0.93617,0.342464,0,11,2,4,2.0,1315.0,657.5,328.75,0,4,0,2,0.0,1.461111,0.0,0.762781,2.282709,NA,NA,NA,NA
s-051-031,train,2,2,spread,0,0,0,interior,60,61,2,80,0.746835,23,89368,3885.57,0.086957,0.913043,0.426229,0,8,1,1,0.5,2234.2,1117.1,2234.2,0,1,0,1,0.0,2.482444,0.0,0.0,1.0,NA,NA,NA,NA
s-010-008,train,2,2,spread,0,0,0,interior,14,15,2,22,0.619048,17,12215,718.53,0.235294,0.764706,0.787127,0,8,1,1,0.5,1110.45,555.23,1110.45,0,1,0,1,0.0,1.233833,0.0,0.0,1.0,NA,NA,NA,NA
s-021-016,train,2,2,spread,0,0,0,interior,30,31,2,46,0.644444,35,30174,862.11,0.314286,0.685714,0.898059,0,13,3,2,1.0,1311.91,655.96,655.96,0,2,0,2,0.0,1.457678,0.0,0.153488,1.153488,NA,NA,NA,NA
s-051-010,train,6,3,spread,0,0,0,interior,18,19,2,80,0.21519,23,89368,3885.57,0.086957,0.913043,0.426229,0,8,1,1,0.5,2234.2,1117.1,2234.2,0,1,0,1,0.0,2.482444,0.0,0.0,1.0,NA,NA,NA,NA
s-026-001,train,6,6,solo,1,1,0,front,1,1,1,6,0.0,17,830,48.82,1.0,0.0,0.0,0,2,1,4,4.0,138.33,138.33,34.58,4,0,0,2,0.0,0.3074,0.0,0.267843,1.154639,NA,NA,NA,NA
s-020-016,train,2,2,spread,0,0,0,interior,30,31,2,40,0.74359,41,21748,530.44,0.268293,0.731707,0.839004,0,9,3,4,2.0,1087.4,543.7,271.85,0,4,0,2,0.0,1.208222,0.0,0.534349,1.686934,NA,NA,NA,NA
s-072-010,train,2,2,spread,0,0,0,interior,18,19,2,44,0.395349,35,41327,1180.77,0.257143,0.742857,0.822404,0,12,3,1,0.5,1878.5,939.25,1878.5,0,1,0,1,0.0,2.087222,0.0,0.0,1.0,NA,NA,NA,NA
s-064-006,val,2,2,spread,0,0,0,interior,10,11,2,26,0.36,41,13567,330.9,0.390244,0.609756,0.964957,0,11,2,1,0.5,1043.62,521.81,1043.62,0,1,0,1,0.0,1.159578,0.0,0.0,1.0,NA,NA,NA,NA
s-037-016,train,3,3,spread,0,0,0,interior,30,31,2,43,0.690476,29,31100,1072.41,0.137931,0.862069,0.578795,0,12,4,2,1.0,1446.51,723.25,723.25,0,2,0,2,0.0,1.607233,0.0,0.277798,1.277798,NA,NA,NA,NA
s-068-012,train,5,4,spread,0,0,0,interior,22,23,2,24,0.913043,41,12140,296.1,0.341463,0.658537,0.926212,0,6,2,1,0.5,1011.67,505.83,1011.67,0,1,0,1,0.0,1.124078,0.0,0.0,1.0,NA,NA,NA,NA
s-065-010,train,2,2,spread,0,0,0,interior,18,19,2,34,0.515152,29,26950,929.31,0.310345,0.689655,0.893571,0,7,1,2,1.0,1585.29,792.64,792.64,0,2,0,1,0.0,1.761433,0.0,0.473684,1.473684,NA,NA,NA,NA
s-086-003,train,6,4,spread,0,0,0,interior,4,5,2,40,0.076923,29,60488,2085.79,0.37931,0.62069,0.957553,0,13,3,2,1.0,3024.4,1512.2,1512.2,0,2,0,2,0.0,3.360444,0.0,0.742733,1.742733,NA,NA,NA,NA
s-078-007,train,6,5,spread,0,0,0,interior,12,13,2,15,0.785714,29,7738,266.83,0.793103,0.206897,0.735509,0,4,1,6,3.0,1031.73,515.87,171.96,4,2,0,3,0.0,1.146367,0.918296,1.299429,3.488772,NA,NA,NA,NA
s-087-011,val,3,2,spread,0,0,0,interior,20,21,2,29,0.678571,47,10236,217.79,0.297872,0.702128,0.878674,0,6,1,3,1.5,705.93,352.96,235.31,1,2,0,3,0.0,0.784367,0.918296,0.70464,1.780809,NA,NA,NA,NA
s-041-001,train,6,6,solo,1,1,0,front,1,1,1,32,0.0,47,16949,360.62,0.531915,0.468085,0.997059,0,15,3,1,1.0,529.66,529.66,529.66,0,1,0,1,0.0,1.177022,0.0,0.0,1.0,NA,NA,NA,NA
s-099-004,train,4,3,spread,0,0,0,interior,6,7,2,9,0.625,35,4085,116.71,0.8,0.2,0.721928,0,12,3,8,4.0,907.78,453.89,113.47,4,4,0,7,0.0,1.008644,1.0,0.952754,3.031926,NA,NA,NA,NA
s-069-011,train,2,2,spread,0,0,0,interior,20,21,2,26,0.76,17,14638,861.06,0.352941,0.647059,0.936667,0,7,1,2,1.0,1126.0,563.0,563.0,1,1,0,2,0.0,1.251111,1.0,0.952564,1.952564,NA,NA,NA,NA
s-071-005,train,2,2,spread,0,0,0,interior,8,9,2,42,0.170732,41,23371,570.02,0.243902,0.756098,0.80147,0,10,2,2,1.0,1112.9,556.45,556.45,0,2,0,2,0.0,1.236556,0.0,0.371589,1.371589,NA,NA,NA,NA
s-083-012,train,1,1,spread,0,0,0,interior,22,23,2,52,0.411765,47,34987,744.4,0.297872,0.702128,0.878674,0,12,4,2,1.0,1345.65,672.83,672.83,0,2,0,2,0.0,1.495167,0.0,0.820028,1.820028,NA,NA,NA,NA
s-051-012,train,6,4,spread,0,0,0,interior,22,23,2,80,0.265823,23,89368,3885.57,0.086957,0.913043,0.426229,0,8,1,5,2.5,2234.2,1117.1,446.84,1,4,0,3,0.0,2.482444,0.721928,1.206024,3.345445,NA,NA,NA,NA
s-020-019,train,6,3,spread,0,0,0,interior,36,37,2,40,0.897436,41,21748,530.44,0.268293,0.731707,0.839004,0,9,3,2,1.0,1087.4,543.7,543.7,0,2,0,2,0.0,1.208222,0.0,0.52609,1.52609,NA,NA,NA,NA
s-012-002,train,3,2,spread,0,0,0,interior,2,3,2,23,0.045455,41,10813,263.73,0.731707,0.268293,0.839004,0,12,3,2,1.0,940.26,470.13,470.13,0,2,0,1,0.0,1.044733,0.0,0.23922,1.23922,NA,NA,NA,NA
s-030-006,train,5,3,spread,0,0,0,interior,10,11,2,15,0.642857,41,6170,150.49,0.439024,0.560976,0.989245,0,6,2,5,2.5,822.67,411.33,164.53,1,4,0,3,0.0,0.914078,0.721928,0.775438,2.536298,NA,NA,NA,NA
